session,date,equity,benchmarkEquity,dailyReturn,benchmarkReturn,close,exposureBars
1513,2012-09-26,105222.4191220009,107957.03129547472,-0.0057367349435899495,-0.0057367349435899495,1433.3199462890625,1
1514,2012-09-27,106237.70833270813,108998.70672936866,0.009648981834660786,0.009648981834660786,1447.1500244140625,1
1515,2012-09-28,105762.00210776478,108510.63743537042,-0.004477753072887891,-0.004477753072887891,1440.6700439453125,1
1516,2012-10-01,106042.43076606395,108798.3541186853,0.002651506710448004,0.002651506710448004,1444.489990234375,1
1517,2012-10-02,106134.93019440139,108893.25750299412,0.0008722869484338869,0.0008722869484338869,1445.75,1
1518,2012-10-03,106519.60665834381,109287.931275019,0.0036244096381636837,0.0036244096381634616,1450.989990234375,1
1519,2012-10-04,107283.82471193706,110072.01049517718,0.007174435557619319,0.007174435557619541,1461.4000244140625,1
1520,2012-10-05,107249.32337507413,110036.61250742392,-0.0003215893631268729,-0.00032158936312698394,1460.9300537109375,1
1521,2012-10-08,106878.59082805607,109656.24503902088,-0.0034567355331607263,-0.0034567355331606153,1455.8800048828125,1
1522,2012-10-09,105821.4609051896,108571.64149997893,-0.00989094181235195,-0.009890941812351839,1441.47998046875,1
1523,2012-10-10,105166.63449291732,107899.79688670486,-0.006188030354815854,-0.006188030354815965,1432.56005859375,1
1524,2012-10-11,105187.18295146972,107920.87937655376,0.00019538952303155277,0.00019538952303155277,1432.8399658203125,1
1525,2012-10-12,104875.18332959442,107600.77123587401,-0.0029661372528556607,-0.0029661372528557717,1428.5899658203125,1
1526,2012-10-15,105722.3569352241,108469.96192944304,0.008077922524027947,0.008077922524027947,1440.1300048828125,1
1527,2012-10-16,106808.1184869937,109583.94120117892,0.010269933278491239,0.010269933278491461,1454.9200439453125,1
1528,2012-10-17,107247.85370773764,110035.10464508846,0.004117058019306619,0.004117058019306619,1460.9100341796875,1
1529,2012-10-18,106985.76900698611,109766.20865811927,-0.0024437290975140025,-0.0024437290975138914,1457.3399658203125,1
1530,2012-10-19,105212.87524569986,107947.23938457675,-0.016571304555192623,-0.016571304555192623,1433.18994140625,1
1531,2012-10-22,105259.12495986858,107994.69107673116,0.0004395822665306248,0.00043958226653084687,1433.8199462890625,1
1532,2012-10-23,103738.7720230328,106434.82587925986,-0.014443906287606278,-0.014443906287606278,1413.1099853515625,1
1533,2012-10-24,103418.69819219295,106106.43369001761,-0.0030853828766045366,-0.0030853828766045366,1408.75,1
1534,2012-10-25,103728.4933130635,106424.28003719416,0.002995542646406335,0.002995542646406335,1412.969970703125,1
